claim_id,claim,negative_label,baseline_label,negative_output,baseline_output,negative_evidence_count,baseline_evidence_count,gold_label,agreement,negative_correct,baseline_correct,improvement,degradation
10,"Donald Trump, when he thinks of climate change, he says hoax. Well, guess what? Speaking of hoaxes, remember what he said about these increasing violent hurricanes and the frequency? He actually said, maybe we should detonate a nuclear bomb over the Atlantic. By the way, the same stable genius who said the biggest problem we had in the Revolutionary War is we didn’t have enough airports.",Refuted,Conflicting Evidence/Cherrypicking,"<|start_header_id|>assistant<|end_header_id|>

justification: The Q&As show that Trump has changed his views on climate change and now thinks it is not a hoax but still thinks it is not man made so the claim is refuted.

verdict: 'Refuted'","<|start_header_id|>assistant<|end_header_id|>

justification: The Q&As show that Trump has called climate change a hoax but also said he doesn't know if humans are causing global warming, and he suggests that the climate will ""change back again."" He also said he doesn't think climate change is a ""hoax"" but he also cast doubt on some of the projections and even alluded that climate scientists are politically motivated.

verdict: 'Conflicting Evidence/Cherrypicking'",10,10,Conflicting Evidence/Cherrypicking,False,False,True,True,False
11,The U.S. surgeon general and the Centers for Disease Control both previously said that ‘masks are not effective in preventing [the] general public from catching coronavirus.’,Refuted,Supported,"<|start_header_id|>assistant<|end_header_id|>

justification: The CDC and WHO both recommend wearing masks to prevent catching coronavirus.

verdict: 'Refuted'","<|start_header_id|>assistant<|end_header_id|>

justification: The answers and sources show that the CDC and the surgeon general did say that masks were not effective in preventing the general public from catching coronavirus so the claim is supported.

verdict: 'Supported'",10,10,Conflicting Evidence/Cherrypicking,False,False,False,False,False
12,New Zealand’s new Food Bill bans gardening,Refuted,Refuted,"<|start_header_id|>assistant<|end_header_id|>

justification: The answers show that there is no ban on gardening so the claim is refuted.

verdict: 'Refuted'","<|start_header_id|>assistant<|end_header_id|>

justification: The answers show that there is no ban on gardening so the claim is refuted.

verdict: 'Refuted'",10,10,Refuted,True,True,True,False,False
13,Wearing face masks will stop the spread of covid 19,Not Enough Evidence,Supported,"<|start_header_id|>assistant<|end_header_id|>

justification: The Q&As show that there is not enough evidence to support or refute the claim.

verdict: 'Not Enough Evidence'","<|start_header_id|>assistant<|end_header_id|>

justification: The evidence suggests that wearing a face mask will reduce the transmission of COVID-19. 

verdict: 'Supported'",10,10,Supported,False,False,True,True,False
14,Jammu and Kashmir (J&K) in Pakistan/India was removed from the United Nations (UN) list of “unresolved disputes”.,Refuted,Refuted,"<|start_header_id|>assistant<|end_header_id|>

justification: The Q&As show that the claim is not correct and that Jammu and Kashmir has not been removed from the United Nations list of unresolved disputes.

verdict: 'Refuted'","<|start_header_id|>assistant<|end_header_id|>

justification: The Q&As show that the claim is not correct and that Jammu and Kashmir has not been removed from the United Nations list of “unresolved disputes”.

verdict: 'Refuted'",10,10,Refuted,True,True,True,False,False
15,"Illegal drug, border crossings, and human smuggling activities have decreased in areas where barriers are deployed in the United States.",Refuted,Supported,"<|start_header_id|>assistant<|end_header_id|>

justification: The Q&As show that barriers do not decrease illegal activities but change the location of them so the claim is refuted.

verdict: 'Refuted'","<|start_header_id|>assistant<|end_header_id|>

justification: The Q&As show that the barriers do decrease the amount of drugs and people crossing the border so the claim is supported.

verdict: 'Supported'",10,10,Not Enough Evidence,False,False,False,False,False
16,The plentiful evidence we have indicates that masks would not meaningfully help with aerosol transmission of COVID 19.,Refuted,Refuted,"<|start_header_id|>assistant<|end_header_id|>

justification: The evidence suggests that masks are effective in reducing the transmission of COVID-19.

verdict: 'Refuted'","<|start_header_id|>assistant<|end_header_id|>

justification: The evidence suggests that masks are effective in reducing the transmission of COVID-19.

verdict: 'Refuted'",10,10,Refuted,True,True,True,False,False
17,All USA Ballots Arriving After Election Day Will Be Thrown Out,Refuted,Refuted,"<|start_header_id|>assistant<|end_header_id|>

justification: The answers and sources show that ballots can be accepted after the election day so the claim is refuted.

verdict: 'Refuted'","<|start_header_id|>assistant<|end_header_id|>

justification: The answers and sources show that not all ballots arriving after the election day will be thrown out so the claim is refuted.

verdict: 'Refuted'",10,10,Refuted,True,True,True,False,False
18,Even if your mail-in ballot is postmarked prior to the Election day but arrives after the Election day it will be thrown out.,Refuted,Refuted,"<|start_header_id|>assistant<|end_header_id|>

justification: The answers show that the ballot would not be thrown out so the claim is refuted.

verdict: 'Refuted'","<|start_header_id|>assistant<|end_header_id|>

justification: The Q&A pairs show that there are states that will count the ballot and states that will not, so the claim is refuted.

verdict: 'Refuted'",10,10,Conflicting Evidence/Cherrypicking,True,False,False,False,False
19,Video shows attack of French embassy in Sudan,Refuted,Refuted,"<|start_header_id|>assistant<|end_header_id|>

justification: The video is of protestors attacking the German embassy in Sudan in 2012.

verdict: 'Refuted'","<|start_header_id|>assistant<|end_header_id|>

justification: The video is of protestors attacking the German embassy in Sudan in 2012.

verdict: 'Refuted'",10,10,Refuted,True,True,True,False,False
20,"Viral video purportedly shows Pakistani opposition MPs chanted ‘Modi, Modi’ (India's PM)  inside the Pakistani Parliament",Refuted,Refuted,"<|start_header_id|>assistant<|end_header_id|>

justification: The video is not of the Pakistani Parliament and the audio is different to what is claimed.

verdict: 'Refuted'","<|start_header_id|>assistant<|end_header_id|>

justification: The video is fake. 

verdict: 'Refuted'",10,10,Refuted,True,True,True,False,False
21,"Taylor Zundel claimed on Instagram that she and other early voters in Utah, were unable to cast ballots in the 2020 presidential elections, as they were told they had already voted.",Refuted,Refuted,"<|start_header_id|>assistant<|end_header_id|>

justification: The Q&A pairs state that the claim was made by a person named Taylor Zundel, who claimed that she and other early voters in Utah, were unable to cast ballots in the 2020 presidential elections, as they were told they had already voted. However the Q&A pairs also state that Utah election officials say they aren’t worried about any mailing issues that could impact the general election — and that’s partly because there’s already an established working relationship with local postmasters.

verdict: 'Refuted'","<|start_header_id|>assistant<|end_header_id|>

justification: The Q&A pairs state that the claim is not true, that there were no issues with voters being told they had already voted in Utah, and that the claim is refuted.

verdict: 'Refuted'",10,10,Refuted,True,True,True,False,False
22,Trash Can Plastered With 'Ballot Box' Sign In Philadelphia Was Intended To Get People To Toss Their Ballots In The Trash.,Refuted,Refuted,"<|start_header_id|>assistant<|end_header_id|>

justification: The answers show that the ballots were not intended to be put in the trash so the claim is refuted.

verdict: 'Refuted'","<|start_header_id|>assistant<|end_header_id|>

justification: The trash can was not intended to get people to toss their ballots in the trash. 

verdict: 'Refuted'",10,10,Refuted,True,True,True,False,False
23,Joe Biden wants to ban fracking,Refuted,Refuted,"<|start_header_id|>assistant<|end_header_id|>

justification: The answers and sources show that Biden does not want to ban fracking so the claim is refuted.

verdict: 'Refuted'","<|start_header_id|>assistant<|end_header_id|>

justification: The answers and sources show that Biden does not want to ban fracking so the claim is refuted.

verdict: 'Refuted'",10,10,Refuted,True,True,True,False,False
24,Germany’s Foreign Minister Heiko Maas said that Thailand’s King Maha Vajiralongkorn didn’t do anything illegal while at his German residence.,Refuted,Refuted,"<|start_header_id|>assistant<|end_header_id|>

justification: The Q&As show that the King is not allowed to conduct politics in Germany so the claim is refuted.

verdict: 'Refuted'","<|start_header_id|>assistant<|end_header_id|>

justification: The Q&As show that the King was not allowed to conduct politics from Germany so the claim is refuted.

verdict: 'Refuted'",10,10,Refuted,True,True,True,False,False
25,McDonald’s Azerbaijan's official account was promoting the military taking of Nagorno-Karabakh.,Supported,Supported,"<|start_header_id|>assistant<|end_header_id|>

justification: The answers and sources show that McDonald's Azerbaijan's official account was promoting the military taking of Nagorno-Karabakh so the claim is supported.

verdict: 'Supported'","<|start_header_id|>assistant<|end_header_id|>

justification: The answers show that the McDonald's account was promoting the military conflict so the claim is supported.

verdict: 'Supported'",10,10,Supported,True,True,True,False,False
26,Ivermectin is a treatment for coronavirus.,Not Enough Evidence,Not Enough Evidence,"<|start_header_id|>assistant<|end_header_id|>

justification: There is not enough evidence to recommend ivermectin as a COVID-19 treatment at this time. Clinical trials to evaluate the effectiveness of Ivermectin as a COVID treatment are ongoing.

verdict: 'Not Enough Evidence'","<|start_header_id|>assistant<|end_header_id|>

justification: There is not enough evidence to support the use of Ivermectin as a COVID-19 treatment at this time. Clinical trials to evaluate the effectiveness of Ivermectin as a COVID treatment are ongoing.

verdict: 'Not Enough Evidence'",10,10,Not Enough Evidence,True,True,True,False,False
27,Sleeping under a mosquito bed net treated (or not treated) with insecticide is ineffective and harmful to human health.,Refuted,Refuted,"<|start_header_id|>assistant<|end_header_id|>

justification: The Q&As show that the bed nets are effective and safe to use.

verdict: 'Refuted'","<|start_header_id|>assistant<|end_header_id|>

justification: The Q&As show that the bed nets are effective in preventing malaria so the claim is refuted.

verdict: 'Refuted'",10,10,Refuted,True,True,True,False,False
28,Pogba Has Quit The French National Team Over Macron's Remarks on Islam.,Refuted,Refuted,"<|start_header_id|>assistant<|end_header_id|>

justification: Pogba himself has denied the claim.

verdict: 'Refuted'","<|start_header_id|>assistant<|end_header_id|>

justification: Pogba himself has denied the claim.

verdict: 'Refuted'",10,10,Refuted,True,True,True,False,False
29,The Wire called Durga puja racist and the goddess Durga a sex worker,Refuted,Refuted,"<|start_header_id|>assistant<|end_header_id|>

justification: The answers show that the claim is not correct and the claim is refuted.

verdict: 'Refuted'","<|start_header_id|>assistant<|end_header_id|>

justification: The answers show that the claim is not correct and the claim is refuted.

verdict: 'Refuted'",10,10,Refuted,True,True,True,False,False
30,"Paul Pogba, who plays for Manchester United and the French national team, retired from international football in response to French President Macron’s comments on Islamist terrorism.",Refuted,Refuted,"<|start_header_id|>assistant<|end_header_id|>

justification: Pogba himself said the reports were fake news.

verdict: 'Refuted'","<|start_header_id|>assistant<|end_header_id|>

justification: The 1st Q&A pair states that Paul Pogba has dismissed the claim that he has quit playing for the French international team following the latest Islamophobic statements made by President Emmanuel Macron on Friday that Islam was the source of international terrorism.

verdict: 'Refuted'",10,10,Refuted,True,True,True,False,False
31,"Amy Coney Barrett was confirmed as US Supreme Court Justice on October 26, 2020",Supported,Supported,"<|start_header_id|>assistant<|end_header_id|>

justification: The Q&A pairs state that the date of the claim is correct.

verdict: 'Supported'","<|start_header_id|>assistant<|end_header_id|>

justification: The Q&A pairs state that the date of the claim is correct.

verdict: 'Supported'",10,10,Supported,True,True,True,False,False
32,The New York post Endorsed Donald trumps bid for re-election.,Supported,Supported,"<|start_header_id|>assistant<|end_header_id|>

justification: The New York Post endorsed Donald Trump for the Republican primary in the 2016 U.S. presidential election.

verdict: 'Supported'","<|start_header_id|>assistant<|end_header_id|>

justification: The New York Post endorsed Donald Trump in the 2016 U.S. presidential election.

verdict: 'Supported'",10,10,Supported,True,True,True,False,False
33,"America went from 75,000 flu deaths last year in 2019 to almost 0 in 2020",Refuted,Refuted,"<|start_header_id|>assistant<|end_header_id|>

justification: The CDC estimated 61,000 influenza-associated deaths in the 2017-2018 season. 

verdict: 'Refuted'","<|start_header_id|>assistant<|end_header_id|>

justification: The CDC reported 38,000 deaths in the United States alone during the 2016-2017 flu season, and an even greater number were hospitalized with the illness. 

verdict: 'Refuted'",10,10,Conflicting Evidence/Cherrypicking,True,False,False,False,False
34,"The United States, New Zealand, U.K., Australia, and the EU have not included the NDF in their official list of terrorist groups.",Supported,Refuted,"<|start_header_id|>assistant<|end_header_id|>

justification: The NDF is not listed as a terrorist organization by the United States, New Zealand, U.K., Australia, and the EU.

verdict: 'Supported'","<|start_header_id|>assistant<|end_header_id|>

justification: The Q&A pairs show that the NDF is a terrorist organisation and is on the list of terrorist organisations for the countries in the claim so the claim is refuted.

verdict: 'Refuted'",10,10,Supported,False,True,False,False,True
35,COVID-19 pandemic pre-planned with the help from Bill Gates.,Refuted,Refuted,"<|start_header_id|>assistant<|end_header_id|>

justification: The Q&As show that Bill Gates had nothing to do with the pandemic and that the claims are conspiracy theories.

verdict: 'Refuted'","<|start_header_id|>assistant<|end_header_id|>

justification: The Q&As show that Bill Gates had nothing to do with the pandemic and was working to help people during the pandemic so the claim is refuted.

verdict: 'Refuted'",10,10,Refuted,True,True,True,False,False
36,Speaker Robin Vos lost a Republican-held seat in the 2018 election for the first time.,Refuted,Refuted,"<|start_header_id|>assistant<|end_header_id|>

justification: The answers and sources show that the speaker did not lose a seat so the claim is refuted.

verdict: 'Refuted'","<|start_header_id|>assistant<|end_header_id|>

justification: The answers and sources show that the speaker did not lose a seat so the claim is refuted.

verdict: 'Refuted'",10,10,Supported,True,False,False,False,False
37,Breitbart News reports that the daughter of Delaware Democratic Senator Chris Coons and seven other underage girls were featured on Hunter Biden's laptop.,Not Enough Evidence,Not Enough Evidence,"<|start_header_id|>assistant<|end_header_id|>

justification: The authenticity of the laptop and its contents has not been verified.

verdict: 'Not Enough Evidence'","<|start_header_id|>assistant<|end_header_id|>

justification: The authenticity of the laptop and its contents has not been verified. 

verdict: 'Not Enough Evidence'",10,10,Refuted,True,False,False,False,False
38,"Hunter Biden, son of US President Joe Biden has died.",Refuted,Refuted,"<|start_header_id|>assistant<|end_header_id|>

justification: There is no evidence to support the claim that Hunter Biden is dead. 

verdict: 'Refuted'","<|start_header_id|>assistant<|end_header_id|>

justification: The Q&As show that Hunter Biden is alive and the claim is refuted.

verdict: 'Refuted'",10,10,Refuted,True,True,True,False,False
39,5G causes COVID-19.,Refuted,Refuted,"<|start_header_id|>assistant<|end_header_id|>

justification: The Q&As show that there is no evidence that 5G causes Covid-19 so the claim is refuted.

verdict: 'Refuted'","<|start_header_id|>assistant<|end_header_id|>

justification: There is no evidence to link COVID-19 with 5G. According to fact-checking organization Full Fact, there is no evidence that 5G suppresses the immune system, nor is there any evidence that viruses can communicate through radio waves.

verdict: 'Refuted'",10,10,Refuted,True,True,True,False,False
40,Rock musician Jon Bon Jovi performed for 12 people and 7 pumpkins at a campaign event for Democratic presidential nominee Joe Biden in Pennsylvania.,Refuted,Supported,"<|start_header_id|>assistant<|end_header_id|>

justification: The answers and sources show that there were more than 12 people at the event so the claim is refuted.

verdict: 'Refuted'","<|start_header_id|>assistant<|end_header_id|>

justification: The answers and sources show that Jon Bon Jovi did perform at a campaign event for Joe Biden in Pennsylvania so the claim is supported.

verdict: 'Supported'",10,10,Refuted,False,True,False,False,True
41,Wearing face masks can cause infections from bacteria such as staphylococcus.,Refuted,Refuted,"<|start_header_id|>assistant<|end_header_id|>

justification: The evidence suggests that face masks do not cause staph infections, and are no more likely to lead to an abrasion on the skin that could allow bacteria to enter than any other clothing.

verdict: 'Refuted'","<|start_header_id|>assistant<|end_header_id|>

justification: The claim is refuted. According to the QA pairs, face masks do not cause staph infections. They are no more likely to lead to an abrasion on the skin that could allow bacteria to enter than any other clothing. 

verdict: 'Refuted'",10,10,Refuted,True,True,True,False,False
42,An 'anti-Black Lives Matter' flag replaced the American flag behind President Trump during a Waukesha campaign rally.,Refuted,Refuted,"<|start_header_id|>assistant<|end_header_id|>

justification: The flag was not an anti-black lives matter flag but a blue lives matter flag which is associated with the blue lives matter movement which is a pro-police group. 

verdict: 'Refuted'","<|start_header_id|>assistant<|end_header_id|>

justification: The flag was not an anti-black lives matter flag but a blue lives matter flag. 

verdict: 'Refuted'",10,10,Supported,True,False,False,False,False
43,Donald Trump said that $15 an hour is too much for essential workers,Refuted,Refuted,"<|start_header_id|>assistant<|end_header_id|>

justification: The Q&A pairs show that Trump did not say that $15 an hour is too much for essential workers. 

verdict: 'Refuted'","<|start_header_id|>assistant<|end_header_id|>

justification: The Q&A pairs state that Trump did not say that $15 an hour is too much for essential workers.

verdict: 'Refuted'",10,10,Conflicting Evidence/Cherrypicking,True,False,False,False,False
44,Deliberately infecting children to COVID-19 at “pox parties” could be a good way to help create herd immunity against COVID-19 without a vaccine.,Supported,Refuted,"<|start_header_id|>assistant<|end_header_id|>

justification: The Q&As show that this is not a good way to create herd immunity and is not supported by the WHO or scientists so the claim is refuted.

verdict: 'Refuted'","<|start_header_id|>assistant<|end_header_id|>

justification: The Q&As show that deliberately infecting children to COVID-19 at “pox parties” is not a good way to help create herd immunity against COVID-19 without a vaccine.

verdict: 'Refuted'",10,10,Refuted,False,False,True,True,False
45,Cutting the umbilical cord straight away deliberately denies the baby natural immunity so that medical professionals have a reason to vaccinate and medicate them.,Refuted,Refuted,"<|start_header_id|>assistant<|end_header_id|>

justification: The answers and sources show that the cord should be left for at least 30 seconds to 1 minute so the baby gets the benefits of the blood from the placenta so the claim is refuted.

verdict: 'Refuted'","<|start_header_id|>assistant<|end_header_id|>

justification: The answers and sources show that the cord is not cut immediately so the claim is refuted.

verdict: 'Refuted'",10,10,Refuted,True,True,True,False,False
46,The umbilical cord should not be cut until 1 hour after birth or they baby will not have enough blood right after birth.,Supported,Supported,"<|start_header_id|>assistant<|end_header_id|>

justification: The answers and sources show that the cord should not be cut until at least 30 seconds after birth so the claim is supported.

verdict: 'Supported'","<|start_header_id|>assistant<|end_header_id|>

justification: The answers and sources show that the cord should not be cut until at least 30 seconds after birth so the claim is supported.

verdict: 'Supported'",10,10,Refuted,True,False,False,False,False
47,Joe Biden said he wants to ban fracking in the US.,Refuted,Refuted,"<|start_header_id|>assistant<|end_header_id|>

justification: The answers and sources show that Biden does not want to ban fracking so the claim is refuted.

verdict: 'Refuted'","<|start_header_id|>assistant<|end_header_id|>

justification: The answers and sources show that Biden does not want to ban fracking so the claim is refuted.

verdict: 'Refuted'",10,10,Conflicting Evidence/Cherrypicking,True,False,False,False,False
48,99% of people recover from COVID-19.,Refuted,Refuted,"<|start_header_id|>assistant<|end_header_id|>

justification: The Q&A pairs show that the mortality rate is between 0.6% to 3.4% so not all people recover from covid-19.

verdict: 'Refuted'","<|start_header_id|>assistant<|end_header_id|>

justification: The answers and sources show that the mortality rate is higher than 1% so the claim is refuted.

verdict: 'Refuted'",10,10,Refuted,True,True,True,False,False
49,The US saw the best carbon emission numbers in 35 years under President Donald Trump's administration.,Supported,Refuted,"<|start_header_id|>assistant<|end_header_id|>

justification: The answers and sources show that the US did have the lowest carbon emissions in 35 years so the claim is supported.

verdict: 'Supported'","<|start_header_id|>assistant<|end_header_id|>

justification: The answers and sources show that the emissions did go down but not as much as they did under Obama so the claim is refuted.

verdict: 'Refuted'",10,10,Refuted,False,False,True,True,False
50,Twitter now putting warnings on tweets that are just unedited clips of Biden saying he would end fracking,Supported,Supported,"<|start_header_id|>assistant<|end_header_id|>

justification: The claim is supported by the QA pairs. The claim states that Twitter is putting warnings on tweets that are just unedited clips of Biden saying he would end fracking. The QA pairs state that Twitter has started adding fact-checking labels to President Biden's tweets in May, spurring accusations of censorship and an executive order that threatened to weaken social media companies’ protections against liability for content posted on their platforms.

verdict: 'Supported'","<|start_header_id|>assistant<|end_header_id|>

justification: The clip is a manipulated media. 

verdict: 'Supported'",10,10,Conflicting Evidence/Cherrypicking,True,False,False,False,False
51,People who do not vote for the Bharatiya Janata Party (BJP) in the 2020 elections will not get the COVID vaccine free of cost.,Refuted,Refuted,"<|start_header_id|>assistant<|end_header_id|>

justification: The Q&A pairs state that the vaccine will be free to all, not just BJP voters.

verdict: 'Refuted'","<|start_header_id|>assistant<|end_header_id|>

justification: The Q&As show that the vaccine will be free to all citizens, not just BJP voters.

verdict: 'Refuted'",10,10,Refuted,True,True,True,False,False
52,President Ferdinand Marcos and Dr. Jose Rizal established and founded the WORLD BANK and International Monetary Fund.,Refuted,Refuted,"<|start_header_id|>assistant<|end_header_id|>

justification: The IMF and the World Bank were established in 1944.

verdict: 'Refuted'","<|start_header_id|>assistant<|end_header_id|>

justification: The IMF and the World Bank were founded in 1944, not in the 1960s. 

verdict: 'Refuted'",10,10,Refuted,True,True,True,False,False
53,The FBI is in possession of the president of the US's son  Hunter Biden's laptop.,Supported,Supported,"<|start_header_id|>assistant<|end_header_id|>

justification: The FBI has confirmed that the laptop is authentic and that Hunter Biden's emails are not part of a Russian disinformation campaign.

verdict: 'Supported'","<|start_header_id|>assistant<|end_header_id|>

justification: The FBI has confirmed that the laptop is authentic and that Hunter Biden's emails are not part of a Russian disinformation campaign.

verdict: 'Supported'",10,10,Supported,True,True,True,False,False
54,India’s imports from China increased by 27% in April-August 2020,Refuted,Refuted,"<|start_header_id|>assistant<|end_header_id|>

justification: The Q&As show that the imports did decrease so the claim is refuted.

verdict: 'Refuted'","<|start_header_id|>assistant<|end_header_id|>

justification: The Q&As show that the imports did decrease so the claim is refuted.

verdict: 'Refuted'",10,10,Refuted,True,True,True,False,False
55,Generally the deaths from Covid-19 are still pretty flat because we've flattened the curve.,Refuted,Refuted,"<|start_header_id|>assistant<|end_header_id|>

justification: The answers and sources show that the deaths are not flat and are increasing so the claim is refuted.

verdict: 'Refuted'","<|start_header_id|>assistant<|end_header_id|>

justification: The answers and sources show that the deaths are not flat and are increasing so the claim is refuted.

verdict: 'Refuted'",10,10,Refuted,True,True,True,False,False
56,Previous flu vaccines may have made President Donald Trump susceptible to COVID-19,Refuted,Refuted,"<|start_header_id|>assistant<|end_header_id|>

justification: The Q&As show that there is no evidence that previous flu vaccines would make someone more susceptible to Covid-19 so the claim is refuted.

verdict: 'Refuted'","<|start_header_id|>assistant<|end_header_id|>

justification: The Q&As show that there is no evidence that previous flu vaccines may have made President Donald Trump susceptible to COVID-19.

verdict: 'Refuted'",10,10,Refuted,True,True,True,False,False
57,"While serving as Town Supervisor on Grand Island, Nebraska, US Nate McMurray voted to raise taxes on homeowners.",Not Enough Evidence,Not Enough Evidence,"<|start_header_id|>assistant<|end_header_id|>

justification: The Q&A pairs do not mention if taxes were raised on homeowners in Grand Island, Nebraska. 

verdict: 'Not Enough Evidence'","<|start_header_id|>assistant<|end_header_id|>

justification: The Q&A pairs do not mention if McMurray voted to raise taxes on homeowners. 

verdict: 'Not Enough Evidence'",10,10,Supported,True,False,False,False,False
58,"Russia sent medical aid to the US, in the form of medical equipment to help coronavirus patients.",Supported,Supported,"<|start_header_id|>assistant<|end_header_id|>

justification: The Q&As show that Russia did send medical aid to the US so the claim is supported.

verdict: 'Supported'","<|start_header_id|>assistant<|end_header_id|>

justification: The answers and sources show that Russia did send medical aid to the US so the claim is supported.

verdict: 'Supported'",10,10,Conflicting Evidence/Cherrypicking,True,False,False,False,False
59,There is a scam involving Santander customers being sent fake bank cards.,Refuted,Supported,"<|start_header_id|>assistant<|end_header_id|>

justification: The Q&As show that the bank are not sending out fake bank cards so the claim is refuted.

verdict: 'Refuted'","<|start_header_id|>assistant<|end_header_id|>

justification: The Q&As show that Santander customers are being targeted by a scam involving fake bank cards.

verdict: 'Supported'",10,10,Not Enough Evidence,False,False,False,False,False
