claim_id,claim,positive_label,baseline_label,positive_output,baseline_output,positive_evidence_count,baseline_evidence_count,gold_label,agreement,positive_correct,baseline_correct,improvement,degradation
10,"Donald Trump, when he thinks of climate change, he says hoax. Well, guess what? Speaking of hoaxes, remember what he said about these increasing violent hurricanes and the frequency? He actually said, maybe we should detonate a nuclear bomb over the Atlantic. By the way, the same stable genius who said the biggest problem we had in the Revolutionary War is we didn’t have enough airports.",Supported,Conflicting Evidence/Cherrypicking,"<|start_header_id|>assistant<|end_header_id|>

justification: The answers and sources show that Donald Trump has called climate change a hoax and suggested using nuclear bombs to disrupt the course of hurricanes headed for the US. 

verdict: 'Supported'","<|start_header_id|>assistant<|end_header_id|>

justification: The Q&As show that Trump has called climate change a hoax but also said he doesn't know if humans are causing global warming, and he suggests that the climate will ""change back again."" He also said he doesn't think climate change is a ""hoax"" but he also cast doubt on some of the projections and even alluded that climate scientists are politically motivated.

verdict: 'Conflicting Evidence/Cherrypicking'",10,10,Conflicting Evidence/Cherrypicking,False,False,True,True,False
11,The U.S. surgeon general and the Centers for Disease Control both previously said that ‘masks are not effective in preventing [the] general public from catching coronavirus.’,Supported,Supported,"<|start_header_id|>assistant<|end_header_id|>

justification: The answers and sources show that the CDC and the surgeon general did say that masks were not effective in preventing the general public from catching coronavirus so the claim is supported.

verdict: 'Supported'","<|start_header_id|>assistant<|end_header_id|>

justification: The answers and sources show that the CDC and the surgeon general did say that masks were not effective in preventing the general public from catching coronavirus so the claim is supported.

verdict: 'Supported'",10,10,Conflicting Evidence/Cherrypicking,True,False,False,False,False
12,New Zealand’s new Food Bill bans gardening,Refuted,Refuted,"<|start_header_id|>assistant<|end_header_id|>

justification: The Food Bill focuses on food for sale and profit, not the trade of home-grown food between neighbours or within a community.

verdict: 'Refuted'","<|start_header_id|>assistant<|end_header_id|>

justification: The answers show that there is no ban on gardening so the claim is refuted.

verdict: 'Refuted'",10,10,Refuted,True,True,True,False,False
13,Wearing face masks will stop the spread of covid 19,Supported,Supported,"<|start_header_id|>assistant<|end_header_id|>

justification: The Q&As show that masks do help prevent the spread of covid so the claim is supported.

verdict: 'Supported'","<|start_header_id|>assistant<|end_header_id|>

justification: The evidence suggests that wearing a face mask will reduce the transmission of COVID-19. 

verdict: 'Supported'",10,10,Supported,True,True,True,False,False
14,Jammu and Kashmir (J&K) in Pakistan/India was removed from the United Nations (UN) list of “unresolved disputes”.,Refuted,Refuted,"<|start_header_id|>assistant<|end_header_id|>

justification: The claim is refuted. According to the QA pairs, India has called for the removal of Jammu and Kashmir from the UN list of ""unresolved disputes"". However, the list has not been removed. Therefore, the claim is refuted.

verdict: 'Refuted'","<|start_header_id|>assistant<|end_header_id|>

justification: The Q&As show that the claim is not correct and that Jammu and Kashmir has not been removed from the United Nations list of “unresolved disputes”.

verdict: 'Refuted'",10,10,Refuted,True,True,True,False,False
15,"Illegal drug, border crossings, and human smuggling activities have decreased in areas where barriers are deployed in the United States.",Supported,Supported,"<|start_header_id|>assistant<|end_header_id|>

justification: The claim is supported by the statistics provided in the QA pairs. 

verdict: 'Supported'","<|start_header_id|>assistant<|end_header_id|>

justification: The Q&As show that the barriers do decrease the amount of drugs and people crossing the border so the claim is supported.

verdict: 'Supported'",10,10,Not Enough Evidence,True,False,False,False,False
16,The plentiful evidence we have indicates that masks would not meaningfully help with aerosol transmission of COVID 19.,Refuted,Refuted,"<|start_header_id|>assistant<|end_header_id|>

justification: The evidence suggests that masks are effective in reducing the transmission of COVID-19. 

verdict: 'Refuted'","<|start_header_id|>assistant<|end_header_id|>

justification: The evidence suggests that masks are effective in reducing the transmission of COVID-19.

verdict: 'Refuted'",10,10,Refuted,True,True,True,False,False
17,All USA Ballots Arriving After Election Day Will Be Thrown Out,Refuted,Refuted,"<|start_header_id|>assistant<|end_header_id|>

justification: The answers show that ballots can be accepted after the election day in some states so the claim is refuted.

verdict: 'Refuted'","<|start_header_id|>assistant<|end_header_id|>

justification: The answers and sources show that not all ballots arriving after the election day will be thrown out so the claim is refuted.

verdict: 'Refuted'",10,10,Refuted,True,True,True,False,False
18,Even if your mail-in ballot is postmarked prior to the Election day but arrives after the Election day it will be thrown out.,Refuted,Refuted,"<|start_header_id|>assistant<|end_header_id|>

justification: The answers show that the ballot would not be thrown out so the claim is refuted.

verdict: 'Refuted'","<|start_header_id|>assistant<|end_header_id|>

justification: The Q&A pairs show that there are states that will count the ballot and states that will not, so the claim is refuted.

verdict: 'Refuted'",10,10,Conflicting Evidence/Cherrypicking,True,False,False,False,False
19,Video shows attack of French embassy in Sudan,Refuted,Refuted,"<|start_header_id|>assistant<|end_header_id|>

justification: The video is an old video of a different embassy.

verdict: 'Refuted'","<|start_header_id|>assistant<|end_header_id|>

justification: The video is of protestors attacking the German embassy in Sudan in 2012.

verdict: 'Refuted'",10,10,Refuted,True,True,True,False,False
20,"Viral video purportedly shows Pakistani opposition MPs chanted ‘Modi, Modi’ (India's PM)  inside the Pakistani Parliament",Refuted,Refuted,"<|start_header_id|>assistant<|end_header_id|>

justification: The answers show that the chant was not Modi, Modi but voting, voting so the claim is refuted.

verdict: 'Refuted'","<|start_header_id|>assistant<|end_header_id|>

justification: The video is fake. 

verdict: 'Refuted'",10,10,Refuted,True,True,True,False,False
21,"Taylor Zundel claimed on Instagram that she and other early voters in Utah, were unable to cast ballots in the 2020 presidential elections, as they were told they had already voted.",Refuted,Refuted,"<|start_header_id|>assistant<|end_header_id|>

justification: The Q&As show that there were problems with voting in Utah but not with people being told they had already voted so the claim is refuted.

verdict: 'Refuted'","<|start_header_id|>assistant<|end_header_id|>

justification: The Q&A pairs state that the claim is not true, that there were no issues with voters being told they had already voted in Utah, and that the claim is refuted.

verdict: 'Refuted'",10,10,Refuted,True,True,True,False,False
22,Trash Can Plastered With 'Ballot Box' Sign In Philadelphia Was Intended To Get People To Toss Their Ballots In The Trash.,Refuted,Refuted,"<|start_header_id|>assistant<|end_header_id|>

justification: The answers and sources show that the ballot box was not intended to get people to toss their ballots in the trash so the claim is refuted.

verdict: 'Refuted'","<|start_header_id|>assistant<|end_header_id|>

justification: The trash can was not intended to get people to toss their ballots in the trash. 

verdict: 'Refuted'",10,10,Refuted,True,True,True,False,False
23,Joe Biden wants to ban fracking,Refuted,Refuted,"<|start_header_id|>assistant<|end_header_id|>

justification: The answers and sources show that Biden does not want to ban fracking so the claim is refuted.

verdict: 'Refuted'","<|start_header_id|>assistant<|end_header_id|>

justification: The answers and sources show that Biden does not want to ban fracking so the claim is refuted.

verdict: 'Refuted'",10,10,Refuted,True,True,True,False,False
24,Germany’s Foreign Minister Heiko Maas said that Thailand’s King Maha Vajiralongkorn didn’t do anything illegal while at his German residence.,Refuted,Refuted,"<|start_header_id|>assistant<|end_header_id|>

justification: The Q&As show that the King was warned by the German government that he should not be conducting politics from Germany, so the claim is refuted.

verdict: 'Refuted'","<|start_header_id|>assistant<|end_header_id|>

justification: The Q&As show that the King was not allowed to conduct politics from Germany so the claim is refuted.

verdict: 'Refuted'",10,10,Refuted,True,True,True,False,False
25,McDonald’s Azerbaijan's official account was promoting the military taking of Nagorno-Karabakh.,Supported,Supported,"<|start_header_id|>assistant<|end_header_id|>

justification: The answers show that the account was promoting the military action so the claim is supported.

verdict: 'Supported'","<|start_header_id|>assistant<|end_header_id|>

justification: The answers show that the McDonald's account was promoting the military conflict so the claim is supported.

verdict: 'Supported'",10,10,Supported,True,True,True,False,False
26,Ivermectin is a treatment for coronavirus.,Not Enough Evidence,Not Enough Evidence,"<|start_header_id|>assistant<|end_header_id|>

justification: There is not enough evidence to recommend ivermectin as a COVID-19 treatment at this time. Clinical trials to evaluate the effectiveness of Ivermectin as a COVID treatment are ongoing.

verdict: 'Not Enough Evidence'","<|start_header_id|>assistant<|end_header_id|>

justification: There is not enough evidence to support the use of Ivermectin as a COVID-19 treatment at this time. Clinical trials to evaluate the effectiveness of Ivermectin as a COVID treatment are ongoing.

verdict: 'Not Enough Evidence'",10,10,Not Enough Evidence,True,True,True,False,False
27,Sleeping under a mosquito bed net treated (or not treated) with insecticide is ineffective and harmful to human health.,Refuted,Refuted,"<|start_header_id|>assistant<|end_header_id|>

justification: The Q&As show that the bed nets are effective and safe to use.

verdict: 'Refuted'","<|start_header_id|>assistant<|end_header_id|>

justification: The Q&As show that the bed nets are effective in preventing malaria so the claim is refuted.

verdict: 'Refuted'",10,10,Refuted,True,True,True,False,False
28,Pogba Has Quit The French National Team Over Macron's Remarks on Islam.,Refuted,Refuted,"<|start_header_id|>assistant<|end_header_id|>

justification: Pogba himself said the reports were fake news and that he had not quit the team.

verdict: 'Refuted'","<|start_header_id|>assistant<|end_header_id|>

justification: Pogba himself has denied the claim.

verdict: 'Refuted'",10,10,Refuted,True,True,True,False,False
29,The Wire called Durga puja racist and the goddess Durga a sex worker,Refuted,Refuted,"<|start_header_id|>assistant<|end_header_id|>

justification: The Wire did not call Durga Puja racist and the goddess Durga a sex worker. 

verdict: 'Refuted'","<|start_header_id|>assistant<|end_header_id|>

justification: The answers show that the claim is not correct and the claim is refuted.

verdict: 'Refuted'",10,10,Refuted,True,True,True,False,False
30,"Paul Pogba, who plays for Manchester United and the French national team, retired from international football in response to French President Macron’s comments on Islamist terrorism.",Refuted,Refuted,"<|start_header_id|>assistant<|end_header_id|>

justification: The Q&As show that Pogba did not retire so the claim is refuted.

verdict: 'Refuted'","<|start_header_id|>assistant<|end_header_id|>

justification: The 1st Q&A pair states that Paul Pogba has dismissed the claim that he has quit playing for the French international team following the latest Islamophobic statements made by President Emmanuel Macron on Friday that Islam was the source of international terrorism.

verdict: 'Refuted'",10,10,Refuted,True,True,True,False,False
31,"Amy Coney Barrett was confirmed as US Supreme Court Justice on October 26, 2020",Supported,Supported,"<|start_header_id|>assistant<|end_header_id|>

justification: The Q&A pairs state that the vote was held on the 26th of October 2020.

verdict: 'Supported'","<|start_header_id|>assistant<|end_header_id|>

justification: The Q&A pairs state that the date of the claim is correct.

verdict: 'Supported'",10,10,Supported,True,True,True,False,False
32,The New York post Endorsed Donald trumps bid for re-election.,Supported,Supported,"<|start_header_id|>assistant<|end_header_id|>

justification: The New York Post endorsed Donald Trump for the Republican primary in the 2016 U.S. presidential election.

verdict: 'Supported'","<|start_header_id|>assistant<|end_header_id|>

justification: The New York Post endorsed Donald Trump in the 2016 U.S. presidential election.

verdict: 'Supported'",10,10,Supported,True,True,True,False,False
33,"America went from 75,000 flu deaths last year in 2019 to almost 0 in 2020",Refuted,Refuted,"<|start_header_id|>assistant<|end_header_id|>

justification: The CDC reported 24,000 to 62,000 deaths in the US in 2020, which is not ""almost 0"".

verdict: 'Refuted'","<|start_header_id|>assistant<|end_header_id|>

justification: The CDC reported 38,000 deaths in the United States alone during the 2016-2017 flu season, and an even greater number were hospitalized with the illness. 

verdict: 'Refuted'",10,10,Conflicting Evidence/Cherrypicking,True,False,False,False,False
34,"The United States, New Zealand, U.K., Australia, and the EU have not included the NDF in their official list of terrorist groups.",Refuted,Refuted,"<|start_header_id|>assistant<|end_header_id|>

justification: The Q&A pairs show that the countries mentioned in the claim have designated the NDF as a terrorist organisation so the claim is refuted.

verdict: 'Refuted'","<|start_header_id|>assistant<|end_header_id|>

justification: The Q&A pairs show that the NDF is a terrorist organisation and is on the list of terrorist organisations for the countries in the claim so the claim is refuted.

verdict: 'Refuted'",10,10,Supported,True,False,False,False,False
35,COVID-19 pandemic pre-planned with the help from Bill Gates.,Refuted,Refuted,"<|start_header_id|>assistant<|end_header_id|>

justification: The Q&As show that Bill Gates had not planned the pandemic and was working to prevent one.

verdict: 'Refuted'","<|start_header_id|>assistant<|end_header_id|>

justification: The Q&As show that Bill Gates had nothing to do with the pandemic and was working to help people during the pandemic so the claim is refuted.

verdict: 'Refuted'",10,10,Refuted,True,True,True,False,False
36,Speaker Robin Vos lost a Republican-held seat in the 2018 election for the first time.,Refuted,Refuted,"<|start_header_id|>assistant<|end_header_id|>

justification: The answers and sources show that the speaker did not lose a seat so the claim is refuted.

verdict: 'Refuted'","<|start_header_id|>assistant<|end_header_id|>

justification: The answers and sources show that the speaker did not lose a seat so the claim is refuted.

verdict: 'Refuted'",10,10,Supported,True,False,False,False,False
37,Breitbart News reports that the daughter of Delaware Democratic Senator Chris Coons and seven other underage girls were featured on Hunter Biden's laptop.,Refuted,Not Enough Evidence,"<|start_header_id|>assistant<|end_header_id|>

justification: The 10th Q&A pair states that there is no evidence of the claim on the laptop, so the claim is refuted.

verdict: 'Refuted'","<|start_header_id|>assistant<|end_header_id|>

justification: The authenticity of the laptop and its contents has not been verified. 

verdict: 'Not Enough Evidence'",10,10,Refuted,False,True,False,False,True
38,"Hunter Biden, son of US President Joe Biden has died.",Refuted,Refuted,"<|start_header_id|>assistant<|end_header_id|>

justification: The Q&As show that Hunter Biden is alive and the claim is refuted.

verdict: 'Refuted'","<|start_header_id|>assistant<|end_header_id|>

justification: The Q&As show that Hunter Biden is alive and the claim is refuted.

verdict: 'Refuted'",10,10,Refuted,True,True,True,False,False
39,5G causes COVID-19.,Refuted,Refuted,"<|start_header_id|>assistant<|end_header_id|>

justification: There is no evidence to link COVID-19 with 5G. According to fact-checking organization Full Fact, there is no evidence that 5G suppresses the immune system, nor is there any evidence that viruses can communicate through radio waves.

verdict: 'Refuted'","<|start_header_id|>assistant<|end_header_id|>

justification: There is no evidence to link COVID-19 with 5G. According to fact-checking organization Full Fact, there is no evidence that 5G suppresses the immune system, nor is there any evidence that viruses can communicate through radio waves.

verdict: 'Refuted'",10,10,Refuted,True,True,True,False,False
40,Rock musician Jon Bon Jovi performed for 12 people and 7 pumpkins at a campaign event for Democratic presidential nominee Joe Biden in Pennsylvania.,Supported,Supported,"<|start_header_id|>assistant<|end_header_id|>

justification: The answers and sources show that Jon Bon Jovi did perform at a campaign event for Joe Biden in Pennsylvania so the claim is supported.

verdict: 'Supported'","<|start_header_id|>assistant<|end_header_id|>

justification: The answers and sources show that Jon Bon Jovi did perform at a campaign event for Joe Biden in Pennsylvania so the claim is supported.

verdict: 'Supported'",10,10,Refuted,True,False,False,False,False
41,Wearing face masks can cause infections from bacteria such as staphylococcus.,Refuted,Refuted,"<|start_header_id|>assistant<|end_header_id|>

justification: The evidence suggests that face masks do not cause staph infections, and are no more likely to lead to an abrasion on the skin that could allow bacteria to enter than any other clothing.

verdict: 'Refuted'","<|start_header_id|>assistant<|end_header_id|>

justification: The claim is refuted. According to the QA pairs, face masks do not cause staph infections. They are no more likely to lead to an abrasion on the skin that could allow bacteria to enter than any other clothing. 

verdict: 'Refuted'",10,10,Refuted,True,True,True,False,False
42,An 'anti-Black Lives Matter' flag replaced the American flag behind President Trump during a Waukesha campaign rally.,Supported,Refuted,"<|start_header_id|>assistant<|end_header_id|>

justification: The flag is associated with the Blue Lives Matter movement, which was started in response to the Black Lives Matter movement.

verdict: 'Supported'","<|start_header_id|>assistant<|end_header_id|>

justification: The flag was not an anti-black lives matter flag but a blue lives matter flag. 

verdict: 'Refuted'",10,10,Supported,False,True,False,False,True
43,Donald Trump said that $15 an hour is too much for essential workers,Supported,Refuted,"<|start_header_id|>assistant<|end_header_id|>

justification: The 10th Q&A pair states that Trump was against a $15 an hour minimum wage, which is what the claim states he said.

verdict: 'Supported'","<|start_header_id|>assistant<|end_header_id|>

justification: The Q&A pairs state that Trump did not say that $15 an hour is too much for essential workers.

verdict: 'Refuted'",10,10,Conflicting Evidence/Cherrypicking,False,False,False,False,False
44,Deliberately infecting children to COVID-19 at “pox parties” could be a good way to help create herd immunity against COVID-19 without a vaccine.,Refuted,Refuted,"<|start_header_id|>assistant<|end_header_id|>

justification: The Q&As show that deliberately infecting children to COVID-19 at “pox parties” is not a good way to help create herd immunity against COVID-19 without a vaccine.

verdict: 'Refuted'","<|start_header_id|>assistant<|end_header_id|>

justification: The Q&As show that deliberately infecting children to COVID-19 at “pox parties” is not a good way to help create herd immunity against COVID-19 without a vaccine.

verdict: 'Refuted'",10,10,Refuted,True,True,True,False,False
45,Cutting the umbilical cord straight away deliberately denies the baby natural immunity so that medical professionals have a reason to vaccinate and medicate them.,Refuted,Refuted,"<|start_header_id|>assistant<|end_header_id|>

justification: The answers and sources show that cutting the cord straight away does not deny the baby natural immunity so the claim is refuted.

verdict: 'Refuted'","<|start_header_id|>assistant<|end_header_id|>

justification: The answers and sources show that the cord is not cut immediately so the claim is refuted.

verdict: 'Refuted'",10,10,Refuted,True,True,True,False,False
46,The umbilical cord should not be cut until 1 hour after birth or they baby will not have enough blood right after birth.,Supported,Supported,"<|start_header_id|>assistant<|end_header_id|>

justification: The answers and sources show that the cord should not be cut until at least 30 seconds after birth so the claim is supported.

verdict: 'Supported'","<|start_header_id|>assistant<|end_header_id|>

justification: The answers and sources show that the cord should not be cut until at least 30 seconds after birth so the claim is supported.

verdict: 'Supported'",10,10,Refuted,True,False,False,False,False
47,Joe Biden said he wants to ban fracking in the US.,Refuted,Refuted,"<|start_header_id|>assistant<|end_header_id|>

justification: The answers and sources show that Biden does not want to ban fracking so the claim is refuted.

verdict: 'Refuted'","<|start_header_id|>assistant<|end_header_id|>

justification: The answers and sources show that Biden does not want to ban fracking so the claim is refuted.

verdict: 'Refuted'",10,10,Conflicting Evidence/Cherrypicking,True,False,False,False,False
48,99% of people recover from COVID-19.,Refuted,Refuted,"<|start_header_id|>assistant<|end_header_id|>

justification: The Q&A pairs show that the percentage of people that recover from covid is not 99% so the claim is refuted.

verdict: 'Refuted'","<|start_header_id|>assistant<|end_header_id|>

justification: The answers and sources show that the mortality rate is higher than 1% so the claim is refuted.

verdict: 'Refuted'",10,10,Refuted,True,True,True,False,False
49,The US saw the best carbon emission numbers in 35 years under President Donald Trump's administration.,Supported,Refuted,"<|start_header_id|>assistant<|end_header_id|>

justification: The answers and sources show that the emissions did go down so the claim is supported.

verdict: 'Supported'","<|start_header_id|>assistant<|end_header_id|>

justification: The answers and sources show that the emissions did go down but not as much as they did under Obama so the claim is refuted.

verdict: 'Refuted'",10,10,Refuted,False,False,True,True,False
50,Twitter now putting warnings on tweets that are just unedited clips of Biden saying he would end fracking,Supported,Supported,"<|start_header_id|>assistant<|end_header_id|>

justification: The claim is supported by the QA pairs. The claim states that Twitter is putting warnings on tweets that are just unedited clips of Biden saying he would end fracking. The QA pairs state that Twitter has started adding fact-checking labels to President Biden's tweets in May, spurring accusations of censorship and an executive order that threatened to weaken social media companies’ protections against liability for content posted on their platforms.

verdict: 'Supported'","<|start_header_id|>assistant<|end_header_id|>

justification: The clip is a manipulated media. 

verdict: 'Supported'",10,10,Conflicting Evidence/Cherrypicking,True,False,False,False,False
51,People who do not vote for the Bharatiya Janata Party (BJP) in the 2020 elections will not get the COVID vaccine free of cost.,Refuted,Refuted,"<|start_header_id|>assistant<|end_header_id|>

justification: The Q&As show that the vaccine will be free to all citizens, so the claim is refuted.

verdict: 'Refuted'","<|start_header_id|>assistant<|end_header_id|>

justification: The Q&As show that the vaccine will be free to all citizens, not just BJP voters.

verdict: 'Refuted'",10,10,Refuted,True,True,True,False,False
52,President Ferdinand Marcos and Dr. Jose Rizal established and founded the WORLD BANK and International Monetary Fund.,Refuted,Refuted,"<|start_header_id|>assistant<|end_header_id|>

justification: The Q&As show that the World Bank and IMF were established in 1944 and not in the 1960s as claimed.

verdict: 'Refuted'","<|start_header_id|>assistant<|end_header_id|>

justification: The IMF and the World Bank were founded in 1944, not in the 1960s. 

verdict: 'Refuted'",10,10,Refuted,True,True,True,False,False
53,The FBI is in possession of the president of the US's son  Hunter Biden's laptop.,Supported,Supported,"<|start_header_id|>assistant<|end_header_id|>

justification: The FBI has confirmed that they are in possession of Hunter Biden's laptop.

verdict: 'Supported'","<|start_header_id|>assistant<|end_header_id|>

justification: The FBI has confirmed that the laptop is authentic and that Hunter Biden's emails are not part of a Russian disinformation campaign.

verdict: 'Supported'",10,10,Supported,True,True,True,False,False
54,India’s imports from China increased by 27% in April-August 2020,Refuted,Refuted,"<|start_header_id|>assistant<|end_header_id|>

justification: The Q&As show that the imports did decrease so the claim is refuted.

verdict: 'Refuted'","<|start_header_id|>assistant<|end_header_id|>

justification: The Q&As show that the imports did decrease so the claim is refuted.

verdict: 'Refuted'",10,10,Refuted,True,True,True,False,False
55,Generally the deaths from Covid-19 are still pretty flat because we've flattened the curve.,Refuted,Refuted,"<|start_header_id|>assistant<|end_header_id|>

justification: The answers and sources show that the deaths are not flat and are increasing in some places so the claim is refuted.

verdict: 'Refuted'","<|start_header_id|>assistant<|end_header_id|>

justification: The answers and sources show that the deaths are not flat and are increasing so the claim is refuted.

verdict: 'Refuted'",10,10,Refuted,True,True,True,False,False
56,Previous flu vaccines may have made President Donald Trump susceptible to COVID-19,Refuted,Refuted,"<|start_header_id|>assistant<|end_header_id|>

justification: The Q&As show that there is no link between previous flu vaccines and COVID-19 so the claim is refuted.

verdict: 'Refuted'","<|start_header_id|>assistant<|end_header_id|>

justification: The Q&As show that there is no evidence that previous flu vaccines may have made President Donald Trump susceptible to COVID-19.

verdict: 'Refuted'",10,10,Refuted,True,True,True,False,False
57,"While serving as Town Supervisor on Grand Island, Nebraska, US Nate McMurray voted to raise taxes on homeowners.",Not Enough Evidence,Not Enough Evidence,"<|start_header_id|>assistant<|end_header_id|>

justification: The Q&A pairs do not mention if taxes were raised on homeowners in Grand Island, Nebraska. 

verdict: 'Not Enough Evidence'","<|start_header_id|>assistant<|end_header_id|>

justification: The Q&A pairs do not mention if McMurray voted to raise taxes on homeowners. 

verdict: 'Not Enough Evidence'",10,10,Supported,True,False,False,False,False
58,"Russia sent medical aid to the US, in the form of medical equipment to help coronavirus patients.",Supported,Supported,"<|start_header_id|>assistant<|end_header_id|>

justification: The answers and sources show that Russia did send medical aid to the US so the claim is supported.

verdict: 'Supported'","<|start_header_id|>assistant<|end_header_id|>

justification: The answers and sources show that Russia did send medical aid to the US so the claim is supported.

verdict: 'Supported'",10,10,Conflicting Evidence/Cherrypicking,True,False,False,False,False
59,There is a scam involving Santander customers being sent fake bank cards.,Supported,Supported,"<|start_header_id|>assistant<|end_header_id|>

justification: The Q&As show that there is a scam involving Santander customers being sent fake bank cards so the claim is supported.

verdict: 'Supported'","<|start_header_id|>assistant<|end_header_id|>

justification: The Q&As show that Santander customers are being targeted by a scam involving fake bank cards.

verdict: 'Supported'",10,10,Not Enough Evidence,True,False,False,False,False
